latitude,longitude,altitude(m) 
42.4382029,-76.46814647,2
42.43820638,-76.46813895,2.01
42.43820986,-76.46813143,2.03
42.43821334,-76.46812391,1.99
42.43821682,-76.46811638,2
42.4382203,-76.46810886,2.02
42.43822378,-76.46810134,2.04
42.43822726,-76.46809382,2.02
42.43823074,-76.4680863,2.02
42.43823422,-76.46807877,2.03
42.4382377,-76.46807125,2.04
42.43824118,-76.46806373,2.01
42.43824466,-76.46805621,2.02
42.43824814,-76.46804868,2.01
42.43825162,-76.46804116,2.02
42.4382551,-76.46803364,1.99
42.43825858,-76.46802612,2
42.43826206,-76.46801859,2.02
42.43826554,-76.46801107,2
42.43826903,-76.46800355,1.98
42.43827251,-76.46799603,2
42.43827599,-76.4679885,2.02
42.43827947,-76.46798098,2.03
42.43828295,-76.46797346,2.01
42.43828643,-76.46796594,2.03
42.43828991,-76.46795842,2.05
42.43829339,-76.46795089,2
42.43828596,-76.46794463,2
42.43828248,-76.46795215,1.96
42.438279,-76.46795967,1.99
42.43827552,-76.4679672,1.98
42.43827204,-76.46797472,1.97
42.43826856,-76.46798224,1.99
42.43826508,-76.46798976,1.98
42.4382616,-76.46799728,1.95
42.43825812,-76.46800481,1.97
42.43825464,-76.46801233,1.94
42.43825115,-76.46801985,1.99
42.43824767,-76.46802737,1.98
42.43824419,-76.4680349,1.97
42.43824071,-76.46804242,2
42.43823723,-76.46804994,1.99
42.43823375,-76.46805746,1.99
42.43823027,-76.46806499,2.04
42.43822679,-76.46807251,1.98
42.43822331,-76.46808003,2
42.43821983,-76.46808755,1.98
42.43821635,-76.46809507,2
42.43821287,-76.4681026,2.01
42.43820939,-76.46811012,2
42.43820591,-76.46811764,1.98
42.43820243,-76.46812516,2.01
42.43819895,-76.46813269,1.97
42.43819547,-76.46814021,2
42.43818804,-76.46813394,2
42.43819152,-76.46812642,2.02
42.438195,-76.4681189,2
42.43819848,-76.46811138,1.98
42.43820196,-76.46810385,2.03
42.43820544,-76.46809633,2.01
42.43820892,-76.46808881,2.02
42.4382124,-76.46808129,2.01
42.43821588,-76.46807377,1.99
42.43821936,-76.46806624,2.04
42.43822284,-76.46805872,2
42.43822632,-76.4680512,1.97
42.4382298,-76.46804368,2.01
42.43823328,-76.46803615,1.98
42.43823676,-76.46802863,2
42.43824025,-76.46802111,1.98
42.43824373,-76.46801359,1.94
42.43824721,-76.46800606,1.99
42.43825069,-76.46799854,1.97
42.43825417,-76.46799102,1.97
42.43825765,-76.4679835,2.01
42.43826113,-76.46797598,2
42.43826461,-76.46796845,2.01
42.43826809,-76.46796093,2
42.43827157,-76.46795341,1.97
42.43827505,-76.46794589,2.02
42.43827853,-76.46793836,2
42.4382711,-76.4679321,2
42.43826762,-76.46793962,1.99
42.43826414,-76.46794714,1.98
42.43826066,-76.46795467,1.97
42.43825718,-76.46796219,2
42.4382537,-76.46796971,2
42.43825022,-76.46797723,1.99
42.43824674,-76.46798476,1.97
42.43824326,-76.46799228,1.97
42.43823978,-76.4679998,1.96
42.4382363,-76.46800732,1.95
42.43823282,-76.46801484,1.93
42.43822934,-76.46802237,1.97
42.43822586,-76.46802989,1.98
42.43822238,-76.46803741,1.97
42.43821889,-76.46804493,1.98
42.43821541,-76.46805246,1.99
42.43821193,-76.46805998,1.97
42.43820845,-76.4680675,1.99
42.43820497,-76.46807502,1.98
42.43820149,-76.46808255,1.99
42.43819801,-76.46809007,2
42.43819453,-76.46809759,1.99
42.43819105,-76.46810511,1.97
42.43818757,-76.46811263,2
42.43818409,-76.46812016,1.99
42.43818061,-76.46812768,2
42.43817318,-76.46812141,2
42.43817666,-76.46811389,2.01
42.43818014,-76.46810637,1.99
42.43818362,-76.46809885,2.01
42.4381871,-76.46809133,2.02
42.43819058,-76.4680838,2.01
42.43819406,-76.46807628,2.03
42.43819754,-76.46806876,2.01
42.43820102,-76.46806124,2
42.4382045,-76.46805371,2.02
42.43820799,-76.46804619,2.01
42.43821147,-76.46803867,2
42.43821495,-76.46803115,2.01
42.43821843,-76.46802362,1.99
42.43822191,-76.4680161,2.03
42.43822539,-76.46800858,2
42.43822887,-76.46800106,1.99
42.43823235,-76.46799354,2
42.43823583,-76.46798601,1.99
42.43823931,-76.46797849,2.02
42.43824279,-76.46797097,2.04
42.43824627,-76.46796345,2.04
42.43824975,-76.46795592,2.08
