latitude,longitude,altitude(m) 
42.43821483,-76.4681169,2
42.4382176,-76.46810886,1.99
42.43822038,-76.46810082,2.04
42.43822315,-76.46809279,2.03
42.43822593,-76.46808475,1.99
42.43822871,-76.46807671,2.05
42.43823148,-76.46806867,2.03
42.43823426,-76.46806063,1.99
42.43823703,-76.46805259,2.01
42.43823981,-76.46804455,2.01
42.43824258,-76.46803651,1.98
42.43824536,-76.46802847,2
42.43824813,-76.46802044,2.01
42.43825091,-76.4680124,1.96
42.43825369,-76.46800436,1.97
42.43825646,-76.46799632,1.98
42.43825924,-76.46798828,1.98
42.43826201,-76.46798024,2
42.43826479,-76.4679722,1.99
42.43826756,-76.46796416,1.98
42.43827034,-76.46795612,2
42.43826237,-76.46795111,2
42.43825959,-76.46795915,2.03
42.43825682,-76.46796719,2.02
42.43825404,-76.46797523,2.01
42.43825127,-76.46798327,2.02
42.43824849,-76.4679913,2
42.43824572,-76.46799934,1.97
42.43824294,-76.46800738,1.98
42.43824016,-76.46801542,1.96
42.43823739,-76.46802346,1.98
42.43823461,-76.4680315,2.01
42.43823184,-76.46803954,1.99
42.43822906,-76.46804758,2.01
42.43822629,-76.46805562,2.02
42.43822351,-76.46806365,2
42.43822074,-76.46807169,2.03
42.43821796,-76.46807973,2.01
42.43821519,-76.46808777,1.99
42.43821241,-76.46809581,2.03
42.43820963,-76.46810385,2.04
42.43820686,-76.46811189,2
42.43819889,-76.46810687,2
42.43820166,-76.46809883,2.01
42.43820444,-76.46809079,2.03
42.43820722,-76.46808276,2
42.43820999,-76.46807472,2
42.43821277,-76.46806668,2.02
42.43821554,-76.46805864,1.99
42.43821832,-76.4680506,1.98
42.43822109,-76.46804256,2.01
42.43822387,-76.46803452,1.99
42.43822664,-76.46802648,1.98
42.43822942,-76.46801844,2
42.43823219,-76.46801041,1.97
42.43823497,-76.46800237,1.95
42.43823775,-76.46799433,1.97
42.43824052,-76.46798629,1.99
42.4382433,-76.46797825,1.98
42.43824607,-76.46797021,2
42.43824885,-76.46796217,2.02
42.43825162,-76.46795413,1.98
42.4382544,-76.46794609,2
42.43824643,-76.46794108,2
42.43824365,-76.46794912,2.06
42.43824088,-76.46795716,2.07
42.4382381,-76.4679652,2.03
42.43823533,-76.46797324,2.02
42.43823255,-76.46798127,2.02
42.43822978,-76.46798931,2
42.438227,-76.46799735,1.97
42.43822423,-76.46800539,2.01
42.43822145,-76.46801343,1.99
42.43821867,-76.46802147,2.01
42.4382159,-76.46802951,2.02
42.43821312,-76.46803755,2
42.43821035,-76.46804559,2.03
42.43820757,-76.46805362,2.02
42.4382048,-76.46806166,2
42.43820202,-76.4680697,2.03
42.43819925,-76.46807774,2.02
42.43819647,-76.46808578,2
42.4381937,-76.46809382,2.02
42.43819092,-76.46810186,2
42.43818295,-76.46809684,2
42.43818573,-76.4680888,2.02
42.4381885,-76.46808076,2.01
42.43819128,-76.46807273,2
42.43819405,-76.46806469,2.01
42.43819683,-76.46805665,1.99
42.4381996,-76.46804861,1.98
42.43820238,-76.46804057,2.02
42.43820515,-76.46803253,2
42.43820793,-76.46802449,1.97
42.4382107,-76.46801645,2.01
42.43821348,-76.46800841,1.98
42.43821626,-76.46800038,1.93
42.43821903,-76.46799234,1.95
42.43822181,-76.4679843,1.96
42.43822458,-76.46797626,1.97
42.43822736,-76.46796822,1.99
42.43823013,-76.46796018,2.04
42.43823291,-76.46795214,2.02
42.43823568,-76.4679441,2.04
42.43823846,-76.46793606,2
42.43823049,-76.46793105,2
42.43822771,-76.46793909,1.99
42.43822494,-76.46794713,1.99
42.43822216,-76.46795517,2
42.43821939,-76.46796321,1.97
42.43821661,-76.46797124,1.95
42.43821384,-76.46797928,1.93
42.43821106,-76.46798732,1.91
42.43820829,-76.46799536,1.91
42.43820551,-76.4680034,1.95
42.43820274,-76.46801144,1.93
42.43819996,-76.46801948,1.95
42.43819718,-76.46802752,1.98
42.43819441,-76.46803555,1.96
42.43819163,-76.46804359,1.98
42.43818886,-76.46805163,1.98
42.43818608,-76.46805967,1.96
42.43818331,-76.46806771,1.99
42.43818053,-76.46807575,2.03
42.43817776,-76.46808379,2.01
42.43817498,-76.46809183,2
